Product Category,Price(Dollar),Number of  reviews,Order Date,Order Week,Order Month,Order Year,Total Sales
Audio Video ,63,64,2019-08-04,6,8,2019,4032
Audio Video ,38,130,2019-08-04,6,8,2019,4940
Audio Video ,11,448,2019-08-05,0,8,2019,4928
Audio Video ,164,8,2019-08-05,0,8,2019,1312
Audio Video ,7,239,2019-08-05,0,8,2019,1673
Audio Video ,22,41,2019-08-05,0,8,2019,902
Audio Video ,287,2,2019-08-05,0,8,2019,574
Audio Video ,25,56,2019-08-05,0,8,2019,1400
Audio Video ,17,45,2019-08-05,0,8,2019,765
Audio Video ,5,424,2019-08-05,0,8,2019,2120
Audio Video ,17,64,2019-08-05,0,8,2019,1088
Audio Video ,7,6,2019-08-05,0,8,2019,42
Audio Video ,399,1869,2019-08-05,0,8,2019,745731
Audio Video ,10,901,2019-08-05,0,8,2019,9010
Audio Video ,12,1631,2019-08-06,1,8,2019,19572
Audio Video ,16,20,2019-08-06,1,8,2019,320
Audio Video ,399,699,2019-08-08,3,8,2019,278901
Audio Video ,43,128,2019-08-08,3,8,2019,5504
Audio Video ,300,41,2019-08-08,3,8,2019,12300
Audio Video ,54,62,2019-08-08,3,8,2019,3348
Audio Video ,11,9,2019-08-08,3,8,2019,99
Audio Video ,29,90,2019-08-08,3,8,2019,2610
Audio Video ,35,260,2019-08-08,3,8,2019,9100
Audio Video ,33,259,2019-08-08,3,8,2019,8547
Audio Video ,59,194,2019-08-08,3,8,2019,11446
Audio Video ,245,4,2019-08-08,3,8,2019,980
Audio Video ,8,215,2019-08-08,3,8,2019,1720
Audio Video ,192,11,2019-08-08,3,8,2019,2112
Audio Video ,36,9,2019-08-08,3,8,2019,324
Audio Video ,29,69,2019-08-08,3,8,2019,2001
Audio Video ,15,130,2019-08-08,3,8,2019,1950
Audio Video ,24,52,2019-08-08,3,8,2019,1248
Audio Video ,104,69,2019-08-09,4,8,2019,7176
Audio Video ,28,346,2019-08-09,4,8,2019,9688
Audio Video ,42,16,2019-08-09,4,8,2019,672
Audio Video ,6,120,2019-08-09,4,8,2019,720
Audio Video ,49,230,2019-08-09,4,8,2019,11270
Audio Video ,13,76,2019-08-09,4,8,2019,988
Audio Video ,17,4,2019-08-09,4,8,2019,68
Audio Video ,48,368,2019-08-09,4,8,2019,17664
Audio Video ,129,51,2019-08-09,4,8,2019,6579
Audio Video ,113,115,2019-08-11,6,8,2019,12995
Audio Video ,68,22,2019-08-11,6,8,2019,1496
Audio Video ,39,344,2019-08-11,6,8,2019,13416
Audio Video ,51,164,2019-08-11,6,8,2019,8364
Audio Video ,15,15,2019-08-12,0,8,2019,225
Audio Video ,91,163,2019-08-12,0,8,2019,14833
Audio Video ,24,459,2019-08-12,0,8,2019,11016
Audio Video ,29,7,2019-08-12,0,8,2019,203
Audio Video ,17,546,2019-08-12,0,8,2019,9282
Audio Video ,67,587,2019-08-12,0,8,2019,39329
Audio Video ,19,78,2019-08-12,0,8,2019,1482
Audio Video ,42,150,2019-08-12,0,8,2019,6300
Audio Video ,6,324,2019-08-12,0,8,2019,1944
Audio Video ,20,346,2019-08-12,0,8,2019,6920
Audio Video ,22,68,2019-08-12,0,8,2019,1496
Audio Video ,29,4,2019-08-15,3,8,2019,116
